"id","name","alt_name","latitude","longitude"
"11","ACEH","ACEH","4.36855","97.0253"
"12","SUMATERA UTARA","SUMATERA UTARA","2.19235","99.38122"
"13","SUMATERA BARAT","SUMATERA BARAT","-1.34225","100.0761"
"14","RIAU","RIAU","0.50041","101.54758"
"15","JAMBI","JAMBI","-1.61157","102.7797"
"16","SUMATERA SELATAN","SUMATERA SELATAN","-3.12668","104.09306"
"17","BENGKULU","BENGKULU","-3.51868","102.53598"
"18","LAMPUNG","LAMPUNG","-4.8555","105.0273"
"19","KEPULAUAN BANGKA BELITUNG","KEPULAUAN BANGKA BELITUNG","-2.75775","107.58394"
"21","KEPULAUAN RIAU","KEPULAUAN RIAU","-0.15478","104.58037"
